route_id,stop_id,hour_of_day,day_of_week,is_weekend,stop_sequence,actual_delay_seconds,late_5min
Green,STOP_D,9,3,0,3,120.42375672192645,0
Red,STOP_C,14,4,0,9,36.03413436085248,0
Red,STOP_D,18,2,1,9,170.40215499207704,0
Red,STOP_C,8,0,1,16,-40.70261184767324,0
Blue,STOP_B,9,3,0,5,192.40785551730957,0
101,STOP_A,12,0,0,4,449.9182597750103,1
Green,STOP_A,7,3,0,10,840.2723295325516,1
Green,STOP_B,7,3,1,1,567.2595328054867,1
Red,STOP_C,6,3,0,3,5.105151828219888,0
101,STOP_C,6,3,1,3,287.06603698427807,0
Blue,STOP_B,13,1,0,1,-64.34893924058369,0
Blue,STOP_D,18,3,1,11,350.7091451804258,1
Green,STOP_A,15,3,0,19,224.85672680444276,0
Blue,STOP_D,21,5,1,7,790.5919749478517,1
Green,STOP_C,17,1,1,8,-147.6700685814555,0
101,STOP_D,10,1,1,8,-660.6754424933083,0
101,STOP_B,13,3,0,13,159.6795116767815,0
101,STOP_A,7,1,0,18,372.8464451181468,1
Blue,STOP_D,13,3,0,18,47.87331254936643,0
Blue,STOP_C,21,5,0,16,-96.45827259517867,0
101,STOP_C,20,0,0,1,52.691757543374194,0
Green,STOP_A,12,0,0,8,447.2939122415452,1
Red,STOP_B,9,1,1,16,178.98629485016005,0
Red,STOP_B,6,3,0,7,68.56874449730881,0
Red,STOP_B,19,2,0,10,450.90570188774313,1
Blue,STOP_B,11,0,0,19,211.03313827186375,0
101,STOP_D,17,4,1,16,266.3274849482034,0
Red,STOP_A,21,0,0,2,-233.33567224264,0
Red,STOP_B,15,4,1,3,-27.434426130678474,0
Red,STOP_A,16,2,0,18,50.67484575144823,0
101,STOP_A,19,3,0,11,211.84800204753515,0
Red,STOP_A,9,2,0,7,226.6923456445727,0
Blue,STOP_A,21,1,0,5,252.52137280487094,0
Red,STOP_C,16,4,0,13,140.014168478619,0
Red,STOP_B,8,4,0,11,667.2692733758065,1
Green,STOP_D,15,1,0,1,-12.662477556750531,0
101,STOP_C,12,0,0,13,-275.9290325063908,0
Green,STOP_D,20,2,0,11,-295.61131049677726,0
101,STOP_D,20,5,1,6,1.10044489398922,0
Red,STOP_D,14,5,0,17,-234.54230607973767,0
Red,STOP_C,10,5,0,10,-344.729017285598,0
101,STOP_D,17,4,0,12,23.356501007720283,0
Blue,STOP_C,10,3,0,19,690.1299099218146,1
Green,STOP_A,21,2,1,12,-77.74122615367034,0
Green,STOP_A,17,0,1,16,340.81095436970475,1
Red,STOP_B,18,4,1,5,612.7432356577287,1
Blue,STOP_D,16,3,0,11,184.68091552885238,0
Red,STOP_A,10,3,1,5,-294.8958639418766,0
Blue,STOP_C,20,1,0,1,221.62274373978704,0
Green,STOP_B,6,3,1,19,-340.013136537225,0
101,STOP_C,12,0,1,8,-70.97845818003512,0
Blue,STOP_B,13,1,0,8,-65.79095044321022,0
Green,STOP_C,15,1,0,9,37.50112140368485,0
Blue,STOP_B,19,4,1,14,533.4107146245665,1
101,STOP_B,13,5,0,15,336.8395375993101,1
Blue,STOP_A,18,1,0,9,106.43170433623055,0
Red,STOP_A,17,3,1,14,-63.57021234929897,0
Green,STOP_A,14,2,0,16,-71.86150313858349,0
Red,STOP_A,11,0,1,10,-410.35269387302924,0
Blue,STOP_C,13,2,0,14,76.87727464858307,0
Green,STOP_A,7,4,1,5,482.42533262474757,1
101,STOP_D,10,2,0,13,-71.24268397936481,0
Green,STOP_C,6,0,0,13,72.71868379866385,0
Red,STOP_A,6,1,0,11,800.9578236077576,1
101,STOP_A,13,5,1,19,136.1641361250542,0
Green,STOP_C,6,0,0,4,-220.310306834794,0
Blue,STOP_C,19,1,0,17,299.97766805284834,0
Blue,STOP_C,6,3,0,8,-30.010970931460633,0
Red,STOP_D,10,3,0,16,194.25092687397722,0
Blue,STOP_A,15,5,0,7,-42.929325722954644,0
Red,STOP_D,11,4,0,6,-60.5527131881845,0
101,STOP_B,15,0,0,5,326.10574427643024,1
Green,STOP_D,6,1,0,5,-136.9557555078722,0
101,STOP_A,17,1,0,3,66.83175766041103,0
Red,STOP_A,6,1,0,6,460.3327765547621,1
Green,STOP_D,15,2,1,19,180.73664562834975,0
101,STOP_C,19,2,0,6,147.23076104004147,0
101,STOP_A,20,4,0,2,87.48154468671481,0
Red,STOP_A,12,4,0,18,-33.47180912744781,0
101,STOP_B,9,0,1,7,112.27526867287419,0
101,STOP_C,20,1,1,14,290.8459922126906,0
101,STOP_D,7,1,0,17,156.38988831225953,0
Green,STOP_B,20,2,0,6,-118.47083351633574,0
